function,metric
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8384
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8384
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8208
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8208
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8384
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8384
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8384
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8384
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8200
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8208
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,8024
