function,metric
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,11072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,11080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,11072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,11080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,11072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,10072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,11072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,12080
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3744
bsw_dec,9072
