function,metric
bsw_setup,1157
bsw_enc,8019
bsw_keygen,7484
bsw_dec,17166
bsw_setup,1157
bsw_enc,7995
bsw_keygen,7445
bsw_dec,17971
bsw_setup,1157
bsw_enc,8037
bsw_keygen,7483
bsw_dec,9904
bsw_setup,1157
bsw_enc,8060
bsw_keygen,7482
bsw_dec,18418
bsw_setup,1157
bsw_enc,8060
bsw_keygen,7482
bsw_dec,20561
bsw_setup,1157
bsw_enc,8066
bsw_keygen,7482
bsw_dec,17240
bsw_setup,1157
bsw_enc,7942
bsw_keygen,7434
bsw_dec,9905
bsw_setup,1157
bsw_enc,8019
bsw_keygen,7446
bsw_dec,13175
bsw_setup,1157
bsw_enc,7965
bsw_keygen,7375
bsw_dec,8580
bsw_setup,1157
bsw_enc,8035
bsw_keygen,7431
bsw_dec,8052
bsw_setup,1157
bsw_enc,7976
bsw_keygen,7437
bsw_dec,12125
bsw_setup,1157
bsw_enc,8034
bsw_keygen,7447
bsw_dec,17263
bsw_setup,1157
bsw_enc,7840
bsw_keygen,7415
bsw_dec,13138
bsw_setup,1157
bsw_enc,8006
bsw_keygen,7446
bsw_dec,16891
bsw_setup,1157
bsw_enc,8036
bsw_keygen,7482
bsw_dec,19107
bsw_setup,1157
bsw_enc,7896
bsw_keygen,7433
bsw_dec,11339
bsw_setup,1157
bsw_enc,7956
bsw_keygen,7446
bsw_dec,11336
bsw_setup,1157
bsw_enc,7951
bsw_keygen,7433
bsw_dec,12799
bsw_setup,1157
bsw_enc,7923
bsw_keygen,7485
bsw_dec,21359
bsw_setup,1157
bsw_enc,7941
bsw_keygen,7430
bsw_dec,14262
bsw_setup,1157
bsw_enc,7990
bsw_keygen,7430
bsw_dec,11313
bsw_setup,1157
bsw_enc,8012
bsw_keygen,7484
bsw_dec,20569
bsw_setup,1157
bsw_enc,7913
bsw_keygen,7448
bsw_dec,17937
bsw_setup,1157
bsw_enc,7923
bsw_keygen,7444
bsw_dec,17520
bsw_setup,1157
bsw_enc,8036
bsw_keygen,7433
bsw_dec,13302
bsw_setup,1157
bsw_enc,7903
bsw_keygen,7483
bsw_dec,20110
bsw_setup,1157
bsw_enc,7982
bsw_keygen,7434
bsw_dec,8050
bsw_setup,1157
bsw_enc,8002
bsw_keygen,7433
bsw_dec,13632
bsw_setup,1157
bsw_enc,7940
bsw_keygen,7482
bsw_dec,19846
bsw_setup,1157
bsw_enc,8073
bsw_keygen,7430
bsw_dec,16455
