function,metric
bsw_setup,1155
bsw_enc,14992
bsw_keygen,14586
bsw_dec_seq,29888
bsw_setup,1155
bsw_enc,15061
bsw_keygen,14553
bsw_dec_seq,77531
bsw_setup,1155
bsw_enc,14979
bsw_keygen,14568
bsw_dec_seq,53831
bsw_setup,1155
bsw_enc,15026
bsw_keygen,14568
bsw_dec_seq,18578
bsw_setup,1155
bsw_enc,14904
bsw_keygen,14565
bsw_dec_seq,60180
bsw_setup,1155
bsw_enc,15224
bsw_keygen,14612
bsw_dec_seq,51168
bsw_setup,1155
bsw_enc,14989
bsw_keygen,14586
bsw_dec_seq,40289
bsw_setup,1155
bsw_enc,14953
bsw_keygen,14527
bsw_dec_seq,30036
bsw_setup,1155
bsw_enc,15189
bsw_keygen,14559
bsw_dec_seq,70728
bsw_setup,1155
bsw_enc,15007
bsw_keygen,14570
bsw_dec_seq,63721
bsw_setup,1155
bsw_enc,15024
bsw_keygen,14587
bsw_dec_seq,25371
bsw_setup,1155
bsw_enc,14916
bsw_keygen,14586
bsw_dec_seq,61995
bsw_setup,1155
bsw_enc,15006
bsw_keygen,14572
bsw_dec_seq,60378
bsw_setup,1155
bsw_enc,15050
bsw_keygen,14611
bsw_dec_seq,37076
bsw_setup,1155
bsw_enc,14989
bsw_keygen,14589
bsw_dec_seq,18191
bsw_setup,1155
bsw_enc,15072
bsw_keygen,14570
bsw_dec_seq,40318
bsw_setup,1155
bsw_enc,14935
bsw_keygen,14529
bsw_dec_seq,30065
bsw_setup,1155
bsw_enc,14957
bsw_keygen,14511
bsw_dec_seq,22918
bsw_setup,1155
bsw_enc,15147
bsw_keygen,14587
bsw_dec_seq,18178
bsw_setup,1155
bsw_enc,15096
bsw_keygen,14570
bsw_dec_seq,18582
bsw_setup,1155
bsw_enc,15011
bsw_keygen,14580
bsw_dec_seq,54544
bsw_setup,1155
bsw_enc,14888
bsw_keygen,14577
bsw_dec_seq,21966
bsw_setup,1155
bsw_enc,14948
bsw_keygen,14585
bsw_dec_seq,14808
bsw_setup,1155
bsw_enc,15154
bsw_keygen,14566
bsw_dec_seq,64203
bsw_setup,1155
bsw_enc,14841
bsw_keygen,14613
bsw_dec_seq,22539
bsw_setup,1155
bsw_enc,15003
bsw_keygen,14574
bsw_dec_seq,67246
bsw_setup,1155
bsw_enc,15021
bsw_keygen,14587
bsw_dec_seq,35281
bsw_setup,1155
bsw_enc,14921
bsw_keygen,14599
bsw_dec_seq,22394
bsw_setup,1155
bsw_enc,15036
bsw_keygen,14586
bsw_dec_seq,54911
bsw_setup,1155
bsw_enc,15156
bsw_keygen,14565
bsw_dec_seq,64206
bsw_dec_sim,0
