function,metric
bsw_setup,6760
bsw_enc,6440
bsw_keygen,3840
bsw_dec_seq,8288
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8648
bsw_setup,6760
bsw_enc,6632
bsw_keygen,3840
bsw_dec_seq,8464
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8288
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,9016
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8272
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8280
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8088
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8280
bsw_setup,6760
bsw_enc,6600
bsw_keygen,3840
bsw_dec_seq,8104
bsw_setup,6760
bsw_enc,6424
bsw_keygen,3840
bsw_dec_seq,8096
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8104
bsw_setup,6760
bsw_enc,6544
bsw_keygen,3840
bsw_dec_seq,8288
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8472
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8096
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8280
bsw_setup,6760
bsw_enc,6648
bsw_keygen,3840
bsw_dec_seq,8456
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8288
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8104
bsw_setup,6760
bsw_enc,7640
bsw_keygen,3840
bsw_dec_seq,8464
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8480
bsw_setup,6760
bsw_enc,6688
bsw_keygen,3840
bsw_dec_seq,8464
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8272
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8288
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8088
bsw_setup,6760
bsw_enc,6856
bsw_keygen,3840
bsw_dec_seq,8816
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8104
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8272
bsw_setup,6760
bsw_enc,7280
bsw_keygen,3840
bsw_dec_seq,8296
bsw_setup,6760
bsw_enc,6408
bsw_keygen,3840
bsw_dec_seq,8272
bsw_dec_sim,0
