function,metric
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4824
gpsw_dec,7608
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4912
gpsw_dec,7968
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4848
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4680
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4592
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4992
gpsw_dec,7608
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4992
gpsw_dec,7960
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4824
gpsw_dec,7968
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4592
gpsw_dec,7776
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4848
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4912
gpsw_dec,7792
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4936
gpsw_dec,7608
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5312
gpsw_dec,7968
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4768
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4680
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4760
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4280
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4528
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4592
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4528
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4848
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5256
gpsw_dec,7960
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4024
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4696
gpsw_dec,7600
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4592
gpsw_dec,7784
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5336
gpsw_dec,7960
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5400
gpsw_dec,7792
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4680
gpsw_dec,7784
