function,metric
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3946
gpsw_dec,11056
gpsw_setup,2902
gpsw_enc,3473
gpsw_keygen,4087
gpsw_dec,28251
gpsw_setup,2902
gpsw_enc,3473
gpsw_keygen,4014
gpsw_dec,28227
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4043
gpsw_dec,20829
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4036
gpsw_dec,13800
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4022
gpsw_dec,20773
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3948
gpsw_dec,11058
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4120
gpsw_dec,8331
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4102
gpsw_dec,11179
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4127
gpsw_dec,18034
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3981
gpsw_dec,27499
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3991
gpsw_dec,22795
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3994
gpsw_dec,20390
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4074
gpsw_dec,28201
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4002
gpsw_dec,15854
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4113
gpsw_dec,27111
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4023
gpsw_dec,11061
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3953
gpsw_dec,8330
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4062
gpsw_dec,13387
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4114
gpsw_dec,22731
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4069
gpsw_dec,28665
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4109
gpsw_dec,8326
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4034
gpsw_dec,22727
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3984
gpsw_dec,18363
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4087
gpsw_dec,23191
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,3927
gpsw_dec,11058
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4130
gpsw_dec,20811
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4017
gpsw_dec,17719
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4029
gpsw_dec,18076
gpsw_setup,2902
gpsw_enc,3472
gpsw_keygen,4046
gpsw_dec,27498
