function,metric
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4600
gpsw_dec,9312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4024
gpsw_dec,7800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4592
gpsw_dec,9312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4912
gpsw_dec,9320
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4600
gpsw_dec,9312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4424
gpsw_dec,8312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4824
gpsw_dec,9328
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4600
gpsw_dec,9312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4424
gpsw_dec,8312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4912
gpsw_dec,9320
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4424
gpsw_dec,7800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4824
gpsw_dec,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4824
gpsw_dec,8320
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4192
gpsw_dec,8800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4600
gpsw_dec,9312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4424
gpsw_dec,7800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5224
gpsw_dec,9328
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4912
gpsw_dec,9320
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4280
gpsw_dec,9312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,9320
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4824
gpsw_dec,8808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4112
gpsw_dec,8312
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4512
gpsw_dec,8800
