function,metric
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2002
gpsw_dec,5030
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2097
gpsw_dec,5948
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1996
gpsw_dec,5015
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2030
gpsw_dec,5017
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2052
gpsw_dec,5018
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1965
gpsw_dec,7681
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1998
gpsw_dec,8592
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1976
gpsw_dec,9014
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2049
gpsw_dec,5033
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2021
gpsw_dec,7676
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2003
gpsw_dec,7260
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2006
gpsw_dec,8597
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2050
gpsw_dec,7260
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1969
gpsw_dec,7784
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1991
gpsw_dec,6873
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2078
gpsw_dec,7264
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1977
gpsw_dec,8591
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2039
gpsw_dec,8206
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2040
gpsw_dec,6348
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2031
gpsw_dec,6352
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2053
gpsw_dec,7262
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1986
gpsw_dec,6350
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2033
gpsw_dec,5032
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,1968
gpsw_dec,7681
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2002
gpsw_dec,5033
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2002
gpsw_dec,5017
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2002
gpsw_dec,5030
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,1996
gpsw_dec,5016
gpsw_setup,1812
gpsw_enc,2082
gpsw_keygen,2057
gpsw_dec,5922
gpsw_setup,1813
gpsw_enc,2082
gpsw_keygen,2018
gpsw_dec,8205
