function,metric
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2025
gpsw_dec_seq,13827
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2044
gpsw_dec_seq,6879
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2007
gpsw_dec_seq,6864
gpsw_setup,1829
gpsw_enc,2102
gpsw_keygen,2017
gpsw_dec_seq,12332
gpsw_setup,1829
gpsw_enc,2102
gpsw_keygen,2069
gpsw_dec_seq,9598
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2013
gpsw_dec_seq,6879
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2045
gpsw_dec_seq,6864
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2007
gpsw_dec_seq,14620
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2041
gpsw_dec_seq,15060
gpsw_setup,1829
gpsw_enc,2102
gpsw_keygen,1983
gpsw_dec_seq,11516
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2059
gpsw_dec_seq,11909
gpsw_setup,1829
gpsw_enc,2102
gpsw_keygen,2026
gpsw_dec_seq,9194
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2094
gpsw_dec_seq,13826
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2055
gpsw_dec_seq,11911
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2053
gpsw_dec_seq,12326
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2046
gpsw_dec_seq,9596
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2029
gpsw_dec_seq,14255
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2035
gpsw_dec_seq,14218
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2060
gpsw_dec_seq,14640
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2045
gpsw_dec_seq,12331
gpsw_setup,1829
gpsw_enc,2101
gpsw_keygen,1971
gpsw_dec_seq,11889
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,1972
gpsw_dec_seq,12331
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2045
gpsw_dec_seq,13823
gpsw_setup,1829
gpsw_enc,2102
gpsw_keygen,2010
gpsw_dec_seq,9598
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2048
gpsw_dec_seq,15060
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2026
gpsw_dec_seq,12330
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2074
gpsw_dec_seq,6879
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2037
gpsw_dec_seq,11520
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2018
gpsw_dec_seq,11523
gpsw_setup,1830
gpsw_enc,2102
gpsw_keygen,2057
gpsw_dec_seq,11907
gpsw_dec_sim,5030
gpsw_dec_sim,5948
gpsw_dec_sim,5015
gpsw_dec_sim,5017
gpsw_dec_sim,5018
gpsw_dec_sim,7681
gpsw_dec_sim,8592
gpsw_dec_sim,9014
gpsw_dec_sim,5033
gpsw_dec_sim,7676
gpsw_dec_sim,7260
gpsw_dec_sim,8597
gpsw_dec_sim,7260
gpsw_dec_sim,7784
gpsw_dec_sim,6873
gpsw_dec_sim,7264
gpsw_dec_sim,8591
gpsw_dec_sim,8206
gpsw_dec_sim,6348
gpsw_dec_sim,6352
gpsw_dec_sim,7262
gpsw_dec_sim,6350
gpsw_dec_sim,5032
gpsw_dec_sim,7681
gpsw_dec_sim,5033
gpsw_dec_sim,5017
gpsw_dec_sim,5030
gpsw_dec_sim,5016
gpsw_dec_sim,5922
gpsw_dec_sim,8205
