function,metric
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5016
gpsw_dec_seq,7624
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5248
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5504
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5080
gpsw_dec_seq,7984
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,6400
gpsw_dec_seq,8168
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5432
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,6000
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5496
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5000
gpsw_dec_seq,7816
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4952
gpsw_dec_seq,7616
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5016
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4696
gpsw_dec_seq,7616
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5584
gpsw_dec_seq,7800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5248
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5912
gpsw_dec_seq,7824
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5568
gpsw_dec_seq,7816
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4680
gpsw_dec_seq,7624
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5000
gpsw_dec_seq,7816
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5272
gpsw_dec_seq,7624
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5896
gpsw_dec_seq,7648
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5752
gpsw_dec_seq,7984
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4760
gpsw_dec_seq,7800
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5400
gpsw_dec_seq,7992
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5584
gpsw_dec_seq,7992
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5736
gpsw_dec_seq,7984
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,4928
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5792
gpsw_dec_seq,7816
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,6296
gpsw_dec_seq,7816
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5816
gpsw_dec_seq,7808
gpsw_setup,6760
gpsw_enc,6408
gpsw_keygen,5752
gpsw_dec_seq,7624
gpsw_dec_sim,8344
gpsw_dec_sim,8360
gpsw_dec_sim,8352
gpsw_dec_sim,8352
gpsw_dec_sim,8840
gpsw_dec_sim,15328
gpsw_dec_sim,10352
gpsw_dec_sim,12352
gpsw_dec_sim,17408
gpsw_dec_sim,8832
gpsw_dec_sim,8840
gpsw_dec_sim,14632
gpsw_dec_sim,11840
gpsw_dec_sim,7840
gpsw_dec_sim,8832
gpsw_dec_sim,13368
gpsw_dec_sim,13360
gpsw_dec_sim,12832
gpsw_dec_sim,11832
gpsw_dec_sim,7832
gpsw_dec_sim,8840
gpsw_dec_sim,8840
gpsw_dec_sim,9840
gpsw_dec_sim,11352
gpsw_dec_sim,9840
gpsw_dec_sim,10344
gpsw_dec_sim,9832
gpsw_dec_sim,8856
gpsw_dec_sim,16680
gpsw_dec_sim,11856
