function,metric
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2025
gpsw_dec_seq_avg,13827
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2044
gpsw_dec_seq_avg,6879
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2007
gpsw_dec_seq_avg,6864
gpsw_setup_avg,1829
gpsw_enc_avg,2102
gpsw_keygen_avg,2017
gpsw_dec_seq_avg,12332
gpsw_setup_avg,1829
gpsw_enc_avg,2102
gpsw_keygen_avg,2069
gpsw_dec_seq_avg,9598
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2013
gpsw_dec_seq_avg,6879
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2045
gpsw_dec_seq_avg,6864
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2007
gpsw_dec_seq_avg,14620
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2041
gpsw_dec_seq_avg,15060
gpsw_setup_avg,1829
gpsw_enc_avg,2102
gpsw_keygen_avg,1983
gpsw_dec_seq_avg,11516
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2059
gpsw_dec_seq_avg,11909
gpsw_setup_avg,1829
gpsw_enc_avg,2102
gpsw_keygen_avg,2026
gpsw_dec_seq_avg,9194
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2094
gpsw_dec_seq_avg,13826
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2055
gpsw_dec_seq_avg,11911
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2053
gpsw_dec_seq_avg,12326
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2046
gpsw_dec_seq_avg,9596
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2029
gpsw_dec_seq_avg,14255
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2035
gpsw_dec_seq_avg,14218
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2060
gpsw_dec_seq_avg,14640
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2045
gpsw_dec_seq_avg,12331
gpsw_setup_avg,1829
gpsw_enc_avg,2101
gpsw_keygen_avg,1971
gpsw_dec_seq_avg,11889
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,1972
gpsw_dec_seq_avg,12331
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2045
gpsw_dec_seq_avg,13823
gpsw_setup_avg,1829
gpsw_enc_avg,2102
gpsw_keygen_avg,2010
gpsw_dec_seq_avg,9598
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2048
gpsw_dec_seq_avg,15060
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2026
gpsw_dec_seq_avg,12330
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2074
gpsw_dec_seq_avg,6879
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2037
gpsw_dec_seq_avg,11520
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2018
gpsw_dec_seq_avg,11523
gpsw_setup_avg,1830
gpsw_enc_avg,2102
gpsw_keygen_avg,2057
gpsw_setup_worst,1829
gpsw_enc_worst,2101
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2101
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2101
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13826
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2013
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2013
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1829
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_setup_worst,1830
gpsw_enc_worst,2102
gpsw_keygen_worst,2014
gpsw_dec_seq_worst,13827
gpsw_dec_seq_avg,11907
gpsw_dec_sim_avg,5030
gpsw_dec_sim_avg,5948
gpsw_dec_sim_avg,5015
gpsw_dec_sim_avg,5017
gpsw_dec_sim_avg,5018
gpsw_dec_sim_avg,7681
gpsw_dec_sim_avg,8592
gpsw_dec_sim_avg,9014
gpsw_dec_sim_avg,5033
gpsw_dec_sim_avg,7676
gpsw_dec_sim_avg,7260
gpsw_dec_sim_avg,8597
gpsw_dec_sim_avg,7260
gpsw_dec_sim_avg,7784
gpsw_dec_sim_avg,6873
gpsw_dec_sim_avg,7264
gpsw_dec_sim_avg,8591
gpsw_dec_sim_avg,8206
gpsw_dec_sim_avg,6348
gpsw_dec_sim_avg,6352
gpsw_dec_sim_avg,7262
gpsw_dec_sim_avg,6350
gpsw_dec_sim_avg,5032
gpsw_dec_sim_avg,7681
gpsw_dec_sim_avg,5033
gpsw_dec_sim_avg,5017
gpsw_dec_sim_avg,5030
gpsw_dec_sim_avg,5016
gpsw_dec_sim_avg,5922
gpsw_dec_sim_avg,8205
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7784
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
gpsw_dec_sim_worst,7785
