function,metric
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5664
gpsw_dec_seq_avg,7840
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,7352
gpsw_dec_seq_avg,7672
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5504
gpsw_dec_seq_avg,8216
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6400
gpsw_dec_seq_avg,7848
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,7392
gpsw_dec_seq_avg,8216
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6152
gpsw_dec_seq_avg,8216
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6192
gpsw_dec_seq_avg,7856
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6256
gpsw_dec_seq_avg,7848
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6656
gpsw_dec_seq_avg,8224
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5760
gpsw_dec_seq_avg,7664
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6720
gpsw_dec_seq_avg,8040
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6592
gpsw_dec_seq_avg,8208
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6488
gpsw_dec_seq_avg,7856
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6656
gpsw_dec_seq_avg,7848
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6440
gpsw_dec_seq_avg,7664
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5096
gpsw_dec_seq_avg,7664
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5416
gpsw_dec_seq_avg,8032
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6680
gpsw_dec_seq_avg,8032
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4928
gpsw_dec_seq_avg,8032
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6536
gpsw_dec_seq_avg,8232
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6928
gpsw_dec_seq_avg,7672
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,7248
gpsw_dec_seq_avg,7672
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,7184
gpsw_dec_seq_avg,7840
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6168
gpsw_dec_seq_avg,8208
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6344
gpsw_dec_seq_avg,7672
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6680
gpsw_dec_seq_avg,7672
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6808
gpsw_dec_seq_avg,7856
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,6992
gpsw_dec_seq_avg,7848
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,4528
gpsw_dec_seq_avg,7656
gpsw_setup_avg,6760
gpsw_enc_avg,6408
gpsw_keygen_avg,5936
gpsw_dec_seq_avg,7840
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0
gpsw_dec_sim_avg,0

gpsw_setup_worst,6760
gpsw_enc_worst,6408
gpsw_keygen_worst,7216
gpsw_dec_seq_worst,7656
gpsw_dec_sim_worst,0
