function,metric
bls_gen,2663
bls_sign,4211
bls_ver,14896
bls_gen,2664
bls_sign,3271
bls_ver,13951
bls_gen,2652
bls_sign,3900
bls_ver,14578
bls_gen,2644
bls_sign,3898
bls_ver,14580
bls_gen,2779
bls_sign,3583
bls_ver,14268
bls_gen,2673
bls_sign,3270
bls_ver,13950
bls_gen,2566
bls_sign,3900
bls_ver,14580
bls_gen,2624
bls_sign,3897
bls_ver,14577
bls_gen,2675
bls_sign,4212
bls_ver,14896
bls_gen,2778
bls_sign,3896
bls_ver,14579
bbs_gen,2663
bbs_sign,1550
bbs_ver,13280
bbs_gen,2625
bbs_sign,1525
bbs_ver,13305
bbs_gen,2753
bbs_sign,1501
bbs_ver,13453
bbs_gen,2605
bbs_sign,1550
bbs_ver,13436
bbs_gen,2756
bbs_sign,1536
bbs_ver,13554
bbs_gen,2797
bbs_sign,1527
bbs_ver,13351
bbs_gen,2432
bbs_sign,1510
bbs_ver,13403
bbs_gen,2590
bbs_sign,1536
bbs_ver,13282
bbs_gen,2526
bbs_sign,1500
bbs_ver,13408
bbs_gen,2631
bbs_sign,1490
bbs_ver,13434
cls_gen,5463
cls_sign,4408
cls_ver,25519
cls_gen,5239
cls_sign,4432
cls_ver,25525
cls_gen,5329
cls_sign,4424
cls_ver,25526
cls_gen,5391
cls_sign,4440
cls_ver,25517
cls_gen,5431
cls_sign,4437
cls_ver,25510
cls_gen,5178
cls_sign,4424
cls_ver,25523
cls_gen,4952
cls_sign,4453
cls_ver,25518
cls_gen,5167
cls_sign,4531
cls_ver,25507
cls_gen,5328
cls_sign,4399
cls_ver,25513
cls_gen,5488
cls_sign,4445
cls_ver,25486
zss_gen,1472
zss_sign,2656
zss_ver,10966
zss_gen,1478
zss_sign,2578
zss_ver,11009
zss_gen,1519
zss_sign,2746
zss_ver,10991
zss_gen,1492
zss_sign,2726
zss_ver,11021
zss_gen,1482
zss_sign,2454
zss_ver,10968
zss_gen,1528
zss_sign,2749
zss_ver,11013
zss_gen,1490
zss_sign,2777
zss_ver,10997
zss_gen,1491
zss_sign,2551
zss_ver,10967
zss_gen,1474
zss_sign,2661
zss_ver,11014
zss_gen,1470
zss_sign,2822
zss_ver,11009
ibe_gen,1490
ibe_ext,7009
ibe_enc,19144
ibe_dec,9495
ibe_gen,1517
ibe_ext,7233
ibe_enc,19576
ibe_dec,9500
ibe_gen,1493
ibe_ext,6781
ibe_enc,18996
ibe_dec,9490
ibe_gen,1465
ibe_ext,6643
ibe_enc,18795
ibe_dec,9497
ibe_gen,1476
ibe_ext,7795
ibe_enc,19899
ibe_dec,9497
ibe_gen,1429
ibe_ext,7229
ibe_enc,19264
ibe_dec,9500
ibe_gen,1505
ibe_ext,7113
ibe_enc,19457
ibe_dec,9500
ibe_gen,1500
ibe_ext,6570
ibe_enc,18631
ibe_dec,9495
ibe_gen,1483
ibe_ext,6769
ibe_enc,19169
ibe_dec,9495
ibe_gen,1487
ibe_ext,6691
ibe_enc,19105
ibe_dec,9498
